"Girokonto";"DE02120300000000202051"

"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"18.06.25";"18.06.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 06/2025 REF00135";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.06.25";"20.06.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00147";"Ausgang";"DE02120300000000202051";"-93,60";"";"";""
"20.06.25";"20.06.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 06/2025 REF00133";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"20.06.25";"20.06.25";"Gebucht";"Max Mustermann";"Zalando SE";"ONLINE EINKAUF REF00151";"Ausgang";"DE02120300000000202051";"-37,38";"";"";""
"22.06.25";"22.06.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00140";"Ausgang";"DE02120300000000202051";"-64,16";"";"";""
"22.06.25";"22.06.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00148";"Ausgang";"DE02120300000000202051";"-79,09";"";"";""
"24.06.25";"24.06.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00150";"Ausgang";"DE02120300000000202051";"-37,21";"";"";""
"25.06.25";"25.06.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 06/2025 REF00134";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.06.25";"27.06.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 06/2025 REF00136";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.06.25";"28.06.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 06/2025 REF00128";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.07.25";"01.07.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00175";"Ausgang";"DE02120300000000202051";"-18,15";"";"";""
"01.07.25";"01.07.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 07/2025 REF00157";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"03.07.25";"03.07.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 07/2025 REF00158";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"06.07.25";"06.07.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00165";"Ausgang";"DE02120300000000202051";"-72,49";"";"";""
"07.07.25";"07.07.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 07/2025 REF00160";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"08.07.25";"08.07.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00179";"Ausgang";"DE02120300000000202051";"-19,18";"";"";""
"08.07.25";"08.07.25";"Gebucht";"Max Mustermann";"AMAZON EU S.A R.L.";"ONLINE EINKAUF REF00181";"Ausgang";"DE02120300000000202051";"-13,08";"";"";""
"09.07.25";"09.07.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00182";"Ausgang";"DE02120300000000202051";"-50,00";"";"";""
"09.07.25";"09.07.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00177";"Ausgang";"DE02120300000000202051";"-17,12";"";"";""
"10.07.25";"10.07.25";"Gebucht";"Max Mustermann";"AMAZON EU S.A R.L.";"ONLINE EINKAUF REF00180";"Ausgang";"DE02120300000000202051";"-116,67";"";"";""
"12.07.25";"12.07.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00170";"Ausgang";"DE02120300000000202051";"-86,21";"";"";""
"12.07.25";"12.07.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00171";"Ausgang";"DE02120300000000202051";"-26,28";"";"";""
"13.07.25";"13.07.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00178";"Ausgang";"DE02120300000000202051";"-53,48";"";"";""
"14.07.25";"14.07.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00169";"Ausgang";"DE02120300000000202051";"-19,09";"";"";""
"15.07.25";"15.07.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 07/2025 REF00159";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"18.07.25";"18.07.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00166";"Ausgang";"DE02120300000000202051";"-8,84";"";"";""
"18.07.25";"18.07.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 07/2025 REF00163";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.07.25";"20.07.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00173";"Ausgang";"DE02120300000000202051";"-73,20";"";"";""
"20.07.25";"20.07.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 07/2025 REF00161";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"21.07.25";"21.07.25";"Gebucht";"Max Mustermann";"dm-drogerie markt";"EINKAUF DROGERIE REF00183";"Ausgang";"DE02120300000000202051";"-25,38";"";"";""
"22.07.25";"22.07.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00172";"Ausgang";"DE02120300000000202051";"-16,94";"";"";""
"23.07.25";"23.07.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00167";"Ausgang";"DE02120300000000202051";"-86,64";"";"";""
"25.07.25";"25.07.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 07/2025 REF00162";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"26.07.25";"26.07.25";"Gebucht";"Max Mustermann";"Pizzeria Bella Italia";"BESTELLUNG DANKE REF00176";"Ausgang";"DE02120300000000202051";"-56,47";"";"";""
"27.07.25";"27.07.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 07/2025 REF00164";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"27.07.25";"27.07.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00168";"Ausgang";"DE02120300000000202051";"-40,12";"";"";""
"28.07.25";"28.07.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 07/2025 REF00156";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"28.07.25";"28.07.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00174";"Ausgang";"DE02120300000000202051";"-22,14";"";"";""
"01.08.25";"01.08.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00200";"Ausgang";"DE02120300000000202051";"-53,23";"";"";""
"01.08.25";"01.08.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 08/2025 REF00185";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"02.08.25";"02.08.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00195";"Ausgang";"DE02120300000000202051";"-17,43";"";"";""
"03.08.25";"03.08.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 08/2025 REF00186";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"07.08.25";"07.08.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00209";"Ausgang";"DE02120300000000202051";"-65,89";"";"";""
"07.08.25";"07.08.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 08/2025 REF00188";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"09.08.25";"09.08.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00194";"Ausgang";"DE02120300000000202051";"-23,54";"";"";""
"09.08.25";"09.08.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00199";"Ausgang";"DE02120300000000202051";"-11,86";"";"";""
"11.08.25";"11.08.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00193";"Ausgang";"DE02120300000000202051";"-89,71";"";"";""
"12.08.25";"12.08.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00196";"Ausgang";"DE02120300000000202051";"-71,38";"";"";""
"12.08.25";"12.08.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00201";"Ausgang";"DE02120300000000202051";"-45,52";"";"";""
"13.08.25";"13.08.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00198";"Ausgang";"DE02120300000000202051";"-86,26";"";"";""
"14.08.25";"14.08.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00197";"Ausgang";"DE02120300000000202051";"-60,74";"";"";""
"15.08.25";"15.08.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 08/2025 REF00187";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"18.08.25";"18.08.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00205";"Ausgang";"DE02120300000000202051";"-15,49";"";"";""
"18.08.25";"18.08.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00208";"Ausgang";"DE02120300000000202051";"-51,52";"";"";""
"18.08.25";"18.08.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 08/2025 REF00191";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.08.25";"20.08.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00207";"Ausgang";"DE02120300000000202051";"-38,02";"";"";""
"20.08.25";"20.08.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00202";"Ausgang";"DE02120300000000202051";"-35,31";"";"";""
"20.08.25";"20.08.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 08/2025 REF00189";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"20.08.25";"20.08.25";"Gebucht";"Max Mustermann";"Zalando SE";"ONLINE EINKAUF REF00210";"Ausgang";"DE02120300000000202051";"-95,11";"";"";""
"22.08.25";"22.08.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00211";"Ausgang";"DE02120300000000202051";"-50,00";"";"";""
"22.08.25";"22.08.25";"Gebucht";"Max Mustermann";"Pizzeria Bella Italia";"BESTELLUNG DANKE REF00206";"Ausgang";"DE02120300000000202051";"-56,96";"";"";""
"22.08.25";"22.08.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00204";"Ausgang";"DE02120300000000202051";"-43,53";"";"";""
"24.08.25";"24.08.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00203";"Ausgang";"DE02120300000000202051";"-86,30";"";"";""
"25.08.25";"25.08.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 08/2025 REF00190";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.08.25";"27.08.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 08/2025 REF00192";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.08.25";"28.08.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 08/2025 REF00184";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.09.25";"01.09.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 09/2025 REF00213";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"02.09.25";"02.09.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00231";"Ausgang";"DE02120300000000202051";"-37,43";"";"";""
"03.09.25";"03.09.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 09/2025 REF00214";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"03.09.25";"03.09.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00222";"Ausgang";"DE02120300000000202051";"-79,20";"";"";""
"05.09.25";"05.09.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00224";"Ausgang";"DE02120300000000202051";"-10,13";"";"";""
"06.09.25";"06.09.25";"Gebucht";"Max Mustermann";"Zalando SE";"ONLINE EINKAUF REF00235";"Ausgang";"DE02120300000000202051";"-106,68";"";"";""
"07.09.25";"07.09.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 09/2025 REF00216";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"08.09.25";"08.09.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00238";"Ausgang";"DE02120300000000202051";"-100,00";"";"";""
"08.09.25";"08.09.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00230";"Ausgang";"DE02120300000000202051";"-17,97";"";"";""
"11.09.25";"11.09.25";"Gebucht";"Max Mustermann";"dm-drogerie markt";"EINKAUF DROGERIE REF00240";"Ausgang";"DE02120300000000202051";"-40,72";"";"";""
"13.09.25";"13.09.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00228";"Ausgang";"DE02120300000000202051";"-29,23";"";"";""
"15.09.25";"15.09.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00232";"Ausgang";"DE02120300000000202051";"-15,80";"";"";""
"15.09.25";"15.09.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00226";"Ausgang";"DE02120300000000202051";"-44,06";"";"";""
"15.09.25";"15.09.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 09/2025 REF00215";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"15.09.25";"15.09.25";"Gebucht";"Max Mustermann";"AMAZON EU S.A R.L.";"ONLINE EINKAUF REF00236";"Ausgang";"DE02120300000000202051";"-43,69";"";"";""
"16.09.25";"16.09.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00225";"Ausgang";"DE02120300000000202051";"-61,18";"";"";""
"18.09.25";"18.09.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 09/2025 REF00219";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.09.25";"20.09.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 09/2025 REF00217";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"22.09.25";"22.09.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00233";"Ausgang";"DE02120300000000202051";"-36,09";"";"";""
"22.09.25";"22.09.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00221";"Ausgang";"DE02120300000000202051";"-15,38";"";"";""
"22.09.25";"22.09.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00223";"Ausgang";"DE02120300000000202051";"-35,01";"";"";""
"23.09.25";"23.09.25";"Gebucht";"Max Mustermann";"DB Vertrieb GmbH";"FAHRKARTE DEUTSCHE BAHN REF00239";"Ausgang";"DE02120300000000202051";"-33,57";"";"";""
"23.09.25";"23.09.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00227";"Ausgang";"DE02120300000000202051";"-68,58";"";"";""
"25.09.25";"25.09.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00234";"Ausgang";"DE02120300000000202051";"-54,46";"";"";""
"25.09.25";"25.09.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00229";"Ausgang";"DE02120300000000202051";"-82,86";"";"";""
"25.09.25";"25.09.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 09/2025 REF00218";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.09.25";"27.09.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 09/2025 REF00220";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"27.09.25";"27.09.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00237";"Ausgang";"DE02120300000000202051";"-92,90";"";"";""
"28.09.25";"28.09.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 09/2025 REF00212";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.10.25";"01.10.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00265";"Ausgang";"DE02120300000000202051";"-50,00";"";"";""
"01.10.25";"01.10.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 10/2025 REF00242";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"01.10.25";"01.10.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00264";"Ausgang";"DE02120300000000202051";"-127,90";"";"";""
"03.10.25";"03.10.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 10/2025 REF00243";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"03.10.25";"03.10.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00252";"Ausgang";"DE02120300000000202051";"-44,09";"";"";""
"05.10.25";"05.10.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00250";"Ausgang";"DE02120300000000202051";"-21,12";"";"";""
"05.10.25";"05.10.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00263";"Ausgang";"DE02120300000000202051";"-137,49";"";"";""
"07.10.25";"07.10.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00254";"Ausgang";"DE02120300000000202051";"-80,46";"";"";""
"07.10.25";"07.10.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 10/2025 REF00245";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"15.10.25";"15.10.25";"Gebucht";"Max Mustermann";"dm-drogerie markt";"EINKAUF DROGERIE REF00266";"Ausgang";"DE02120300000000202051";"-12,27";"";"";""
"15.10.25";"15.10.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 10/2025 REF00244";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"16.10.25";"16.10.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00260";"Ausgang";"DE02120300000000202051";"-20,19";"";"";""
"16.10.25";"16.10.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00261";"Ausgang";"DE02120300000000202051";"-10,48";"";"";""
"16.10.25";"16.10.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00257";"Ausgang";"DE02120300000000202051";"-8,51";"";"";""
"18.10.25";"18.10.25";"Gebucht";"Max Mustermann";"Pizzeria Bella Italia";"BESTELLUNG DANKE REF00259";"Ausgang";"DE02120300000000202051";"-47,12";"";"";""
"18.10.25";"18.10.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00253";"Ausgang";"DE02120300000000202051";"-48,54";"";"";""
"18.10.25";"18.10.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 10/2025 REF00248";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.10.25";"20.10.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 10/2025 REF00246";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"23.10.25";"23.10.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00251";"Ausgang";"DE02120300000000202051";"-21,29";"";"";""
"24.10.25";"24.10.25";"Gebucht";"Max Mustermann";"Zalando SE";"ONLINE EINKAUF REF00262";"Ausgang";"DE02120300000000202051";"-31,46";"";"";""
"25.10.25";"25.10.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00258";"Ausgang";"DE02120300000000202051";"-28,89";"";"";""
"25.10.25";"25.10.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00255";"Ausgang";"DE02120300000000202051";"-58,81";"";"";""
"25.10.25";"25.10.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 10/2025 REF00247";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.10.25";"27.10.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 10/2025 REF00249";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.10.25";"28.10.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 10/2025 REF00241";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"28.10.25";"28.10.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00256";"Ausgang";"DE02120300000000202051";"-84,62";"";"";""
"01.11.25";"01.11.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00280";"Ausgang";"DE02120300000000202051";"-73,17";"";"";""
"01.11.25";"01.11.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 11/2025 REF00268";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"03.11.25";"03.11.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 11/2025 REF00269";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"06.11.25";"06.11.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00287";"Ausgang";"DE02120300000000202051";"-39,90";"";"";""
"07.11.25";"07.11.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00284";"Ausgang";"DE02120300000000202051";"-81,01";"";"";""
"07.11.25";"07.11.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 11/2025 REF00271";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"08.11.25";"08.11.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00285";"Ausgang";"DE02120300000000202051";"-18,98";"";"";""
"09.11.25";"09.11.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00278";"Ausgang";"DE02120300000000202051";"-73,42";"";"";""
"09.11.25";"09.11.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00279";"Ausgang";"DE02120300000000202051";"-80,64";"";"";""
"10.11.25";"10.11.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00289";"Ausgang";"DE02120300000000202051";"-150,00";"";"";""
"11.11.25";"11.11.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00277";"Ausgang";"DE02120300000000202051";"-37,36";"";"";""
"12.11.25";"12.11.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00281";"Ausgang";"DE02120300000000202051";"-27,51";"";"";""
"13.11.25";"13.11.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00276";"Ausgang";"DE02120300000000202051";"-36,48";"";"";""
"15.11.25";"15.11.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00286";"Ausgang";"DE02120300000000202051";"-44,67";"";"";""
"15.11.25";"15.11.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 11/2025 REF00270";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"18.11.25";"18.11.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 11/2025 REF00274";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.11.25";"20.11.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 11/2025 REF00272";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"25.11.25";"25.11.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00288";"Ausgang";"DE02120300000000202051";"-50,78";"";"";""
"25.11.25";"25.11.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00282";"Ausgang";"DE02120300000000202051";"-91,28";"";"";""
"25.11.25";"25.11.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00283";"Ausgang";"DE02120300000000202051";"-10,70";"";"";""
"25.11.25";"25.11.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 11/2025 REF00273";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.11.25";"27.11.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 11/2025 REF00275";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.11.25";"28.11.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 11/2025 REF00267";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.12.25";"01.12.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00305";"Ausgang";"DE02120300000000202051";"-81,91";"";"";""
"01.12.25";"01.12.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 12/2025 REF00291";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"03.12.25";"03.12.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 12/2025 REF00292";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
